id,name,set,cn,oid,cmc,ci,type
01bda3d7-122a-48a0-bab3-676c4a557b74,Timetwister,2ED,85,c823e687-6311-4c99-974b-fd77d204141a,3,U,Sorcery
024110ee-5520-49f8-afab-54dcce87c650,Elvish Spirit Guide,SLD,423,6b0e23cf-7d68-4329-86db-7adc26abd86b,3,G,Creature — Elf Spirit
0254bff2-a3a7-434e-980a-2d30355793fc,Library of Leng,LEB,258,867def48-4be8-4056-bcf1-d6b00450b9a3,1,,Artifact
026dd2cb-d759-43d8-a542-a7a71bdeba98,Armageddon Clock,SUM,234,70d90ef4-0cda-405f-abf1-734fa909efa6,6,,Artifact
029eaaa9-e45e-4c50-a03d-ad67e3dfcc3e,Hallowed Fountain,UNF,277,f1750962-a87c-49f6-b731-02ae971ac6ea,0,UW,Land — Plains Island
029ff21a-b175-4e81-8712-4dae185ad790,"Kenrith, the Returned King",LTC,515,d209b948-9afb-4fd1-a961-72c87282878c,5,BGRUW,Legendary Creature — Human Noble
02c4edfa-7822-40bc-88d1-d051b3a64df1,Armageddon,LEB,2,c9ed8b01-959a-47d6-891e-0abbdccf6e4f,4,W,Sorcery
02e17705-739e-409f-a6fd-7bab22120b22,"Urborg, Tomb of Yawgmoth",UMA,254,db6174d7-211d-4817-b8e4-8384594c83f9,0,,Legendary Land
02e8e540-8aa3-4e6a-9a11-c3949cab5f0f,"Tezzeret, Cruel Captain",EOE,2,0eb11b2d-a397-48da-a0f3-9f0f83f42282,3,,Legendary Planeswalker — Tezzeret
02ec317b-52a6-4490-80e5-a56826b06771,Sedge Troll,LEB,173,a6a43190-cca2-4f07-afe9-8af681d777da,3,BR,Creature — Troll
030e46a1-64a7-47e3-9b9f-82a22fe3734b,Consecrated Sphinx,IMA,47,311a449d-dc74-46e6-9a47-6a597931f736,6,U,Creature — Sphinx
0324641d-af55-4c53-b4dc-c8262e967da5,Volcanic Island,LEB,287,c718911c-c955-4eb9-9e16-be4bd49a4e4e,0,RU,Land — Island Mountain
03304c72-fe8e-42af-96ae-1e64ba0105b3,Grand Abolisher,BIG,32,c749f23c-40c0-4159-b84c-a70cbb062c14,2,W,Creature — Human Cleric
0341da27-3d77-4959-b7fa-5929b2cc7141,Living Plane,LEG,193,30e99293-3212-4e3f-b543-b1c7c416575d,4,G,World Enchantment
03482c9c-1f25-4d73-9243-17462ea37ac4,Dwarven Demolition Team,LEA,142,caf3c6ec-d17e-497c-8fe7-6f818ce93f96,3,R,Creature — Dwarf
034e0929-b2c7-4b5f-94f2-8eaf4fb1a2a1,"Sauron, the Dark Lord",LTR,224,9f8f29ba-7e64-455d-be05-ec7973f2bd0a,6,BRU,Legendary Creature — Avatar Horror
041591b9-8eae-4c47-97aa-bb0a59b3f6a4,Blood Moon,BCHR,46,94fac5fe-97d5-4c12-a80c-8efff9d853ae,3,R,Enchantment
043b2d30-a40f-4d47-933b-80544512f9c2,Rhystic Study,WOT,25,53236dd7-845a-444c-96d5-f41ed7325d8f,3,U,Enchantment
043de2ce-9ee9-414f-9385-6e5260173988,Phyrexian Altar,2X2,396,8d02b297-97c4-4379-9862-0a462400f66f,3,,Artifact
045814ab-da2c-460e-acf3-3bbf7bd5fe38,Reverent Mantra,SLD,2686,b4f7b1eb-6cd4-40f9-b259-3c39291edf27,4,W,Instant
0458b733-d689-4cb5-8970-3b675c67fc4d,Serendib Djinn,ARN,19,683e7135-de54-49c8-a978-4f84628a6a91,4,U,Creature — Djinn
04a474e3-e7de-4b4d-ad89-a72571968687,Twinflame Tyrant,FDN,469,321b5cc6-8df6-4292-97a0-a6a3a22f3b55,5,R,Creature — Dragon
04b31611-9053-4eaf-b392-21bb644fef5f,Sinkhole,LEA,129,5a46ad2a-35b1-4dd5-b7c3-fec36b7c67ab,2,B,Sorcery
05145c58-8317-4629-8573-9dff02e62c94,Utvara Hellkite,RVR,431,05a6a571-643e-429e-8e5c-1c3f8b0dc746,8,R,Creature — Dragon
053f724c-c88d-44c0-9902-6400c064640b,Counterspell,SLD,1933,cc187110-1148-4090-bbb8-e205694a39f5,2,U,Instant
05514fab-079c-4c73-bc4c-355621f56d73,"Tezzeret, Cruel Captain",PEOE,2p,0eb11b2d-a397-48da-a0f3-9f0f83f42282,3,,Legendary Planeswalker — Tezzeret
0551d66e-8cd4-48f0-aa17-15f26be9d85f,Evil Presence,LEA,107,3d8ac41c-0566-48b2-a744-39db2f72272c,1,B,Enchantment — Aura
05b2cc68-1d20-421f-9800-af0996071554,Phyrexian Tower,JMP,493,1861e642-21d5-4232-89f3-b5557f2946c1,0,B,Legendary Land
05e9d580-5da2-4559-b611-870726c53791,"Rograkh, Son of Rohgahh",PF25,11,584cee10-f18c-4633-95cc-f2e7a11841ac,0,R,Legendary Creature — Kobold Warrior
05e9fec4-1e0a-4206-ab2b-cc2543cba667,Mana Vault,5ED,388,736892cb-a34b-4bb9-b56c-e26e3db207a2,1,,Artifact
06008bcb-ce6b-482c-9253-f5b9b5e0718e,Three Tree City,BLB,338,da3b17a2-e1e1-44e9-b9b1-ae54a92037db,0,,Legendary Land
062fcd2b-7f63-47bf-83ba-88e33d397a6e,Chromatic Orrery,PM21,228p,95c3976c-33f3-490b-bfd3-7f1af2fe0416,7,,Legendary Artifact
0631c7c8-9aa5-4333-8e20-20247fc47033,Phantasmal Forces,LEA,67,06a158c6-7e36-49f8-a8e0-a7b7df5fd7ed,4,U,Creature — Illusion
064efadf-fdba-41fb-bf2f-ef42b274e934,The Great Henge,LTC,348,78427103-9543-41fb-b6d4-72963fe87275,9,G,Legendary Artifact
065cd3b9-b5aa-44d3-93f4-3a43694d7a1a,Sword of Fire and Ice,SPG,62,2ccdc60a-49a9-44b9-a7af-0ebf18b26785,3,,Artifact — Equipment
06728070-b888-4a57-9248-2a9615a4cda0,Terror of the Peaks,PM21,164p,f8e17f4f-080d-4bba-bd05-ca27e94ccecc,5,R,Creature — Dragon
067c44e9-1b23-42fd-9acb-daafb62c32a2,Colossus of Sardia,ATQ,46,9be9625e-b98b-416b-aac4-9f7b2dfbd39d,9,,Artifact Creature — Golem
067fac91-2483-4678-b86a-2c54a3a480cf,"Kozilek, Butcher of Truth",ROE,6,7b8528b0-71eb-4c9e-bed9-aa2d2e84038f,10,,Legendary Creature — Eldrazi
068bb15a-fc2d-42a2-859b-837b946d23c0,Underground Sea,SUM,290,4b22be3a-8ce1-47d1-b82e-6c3ccfb0548b,0,BU,Land — Island Swamp
06900a71-34ca-48c6-94ac-fca744356829,Season of the Witch,DRK,52,307813c5-c3a8-46c5-8ed4-3b244dd169dc,3,B,Enchantment
0690f724-eb95-416b-b064-f1239e2a30e8,Dark Ritual,LEB,99,53f7c868-b03e-4fc2-8dcf-a75bbfa3272b,1,B,Instant
06d4fbe1-8a2f-4958-bb85-1a1e5f1e8d87,The First Sliver,MH1,200,55e4d4b2-1bd8-4c29-a21a-c014a974b715,5,BGRUW,Legendary Creature — Sliver
071ca80b-62b4-40e6-81c6-fc5bd9019354,Guardian Angel,SUM,21,1a91ca69-e890-41dc-866b-3aabf10c9a9c,1,W,Instant
0760068d-71c2-4b38-9f66-4454875de27e,Enlightened Tutor,TLE,305,c5229c17-b7be-4b05-b683-f2277edc4849,1,W,Instant
077cdb3f-b70f-4310-bc5d-47a0ee35c701,Wanderlust,SUM,227,73bddfdb-d1fb-4038-b676-201f6b82beb0,3,G,Enchantment — Aura
077cf242-f866-497f-a23c-70e1b04a748e,Consecrate Land,LEB,15,4627691c-4ed4-4add-9cc3-2e019be2f9fd,1,W,Enchantment — Aura
0782653e-9d8c-485b-b152-9353cd4f6ec8,Balefire Dragon,CMM,697,3d783beb-9ca6-4681-9276-fc3ad13b993f,7,R,Creature — Dragon
0790fb8c-7ff3-4681-a2c0-f16642f4f94b,Amulet of Vigor,LCC,103,dba16032-66c1-4ccb-9d65-d41ac550d182,1,,Artifact
07ca436a-e992-40a9-978a-501a82e443ed,Vaultborn Tyrant,BIG,85,e8d0accc-b320-4c07-8a71-a09db860351e,7,G,Creature — Dinosaur
07e40ddc-0483-4a2e-a776-807b37bada7f,Three Visits,SLD,1676,1b882a0e-0ede-4d1a-bd1a-9b7cffbcde8e,2,G,Sorcery
082f6551-2332-4a9b-9865-aae19156b3dd,Island,PALP,2,b2c6aa39-2d2a-459c-a555-fb48ba993373,0,U,Basic Land — Island
083f76c8-3e6d-4de5-b408-2f2394faed5c,Mahamoti Djinn,LEB,65,c39ea5f9-6ec0-4697-897b-779e326754a7,6,U,Creature — Djinn
0845f0b0-9413-4ddd-861d-9607636bebc6,Natural Order,VIS,114,8c1fe337-375a-4add-93b6-0ac39ed72b4f,4,G,Sorcery
086b6003-6d90-426b-809e-ea837d868290,The Walls of Ba Sing Se,TLA,329,af7d7da5-aff5-48e1-901a-f81257a85f71,8,,Legendary Artifact Creature — Wall
086d94a0-763e-495e-b952-5c13383657c9,Cryptothrall,40K,155,e26f0fcd-d6d2-4e7b-82dd-711bc0b9dad3,4,,Artifact Creature — Construct
086f1ee3-d83b-410b-b51f-ad4be841ac59,Rakdos Signet,SLD,289,3adb7681-977f-4a32-9ec8-51481b958268,2,BR,Artifact
086f97e9-8b62-44f3-b467-149c2ac5ca78,Opposition Agent,CMR,141,1f438b8f-fe23-4f3b-ab2e-f6c33676c462,3,B,Creature — Human Rogue
08950015-eee5-4327-888c-82dfd13bb9ad,The Meathook Massacre,MID,112,127de52b-df75-4342-95a0-20d84c5bf916,2,B,Legendary Enchantment
089b6e6f-c178-4612-866f-da9cbc01b442,Edgar Markov,INR,328,41e2790d-49f5-4e98-b8d9-04179f47f13a,6,BRW,Legendary Creature — Vampire Knight
08c63a42-7969-4e07-ad98-c312156ad0d2,Mox Amber,BRR,98,7a43bd27-fdd8-41f0-9bc4-92568f3408f1,0,,Legendary Artifact
08dae3b8-917e-404c-87b8-ce8ee7928f0f,Siren's Call,SUM,80,269fc857-a052-4f0a-9759-467ccf42bebb,1,U,Instant
09381c85-d38d-4a5b-9d6c-526d10f1f722,"Mondrak, Glory Dominus",PONE,23p,fe83087d-c6c1-40be-9295-baaa1c6b2db1,4,W,Legendary Creature — Phyrexian Horror
09535dd7-5d14-426e-8bbb-efdfe9b7543d,Pact of Negation,LTC,523,f3e213a4-ba5a-468a-93b3-c0a34e1bd725,0,U,Instant
0961e7f0-a6c2-46b4-9069-d5e2068171b4,Burgeoning,CN2,178,88cf4c1a-5863-45fc-b76d-7ad33b175b2b,1,G,Enchantment
096eacf4-16bb-47d5-b229-c46cbe6a73f7,Holy Strength,SUM,24,9357de36-f8be-4f49-b2c8-9fe9eaf82b07,1,W,Enchantment — Aura
09705595-47c6-4f7c-9351-4004bfa39218,"Elesh Norn, Mother of Machines",ONE,414,5ade11c0-41dd-4b6a-9f5b-c5903a3a0d7f,5,W,Legendary Creature — Phyrexian Praetor
0987461a-45c0-4956-8627-cd27a7e038d0,Shatterstorm,ATQ,28,96ce2403-4607-440a-92ae-80aceb458c5d,4,R,Sorcery
098c976b-6096-4ac7-8d52-2f219ae21d1f,"Lara Croft, Tomb Raider",SLD,1501,ddfd9dca-c886-4e13-b467-990469c31a61,3,GRU,Legendary Creature — Human Ranger
099352e2-38c8-4fb4-a25f-6d928aa20f9e,"Shizo, Death's Storehouse",DMC,233,008f2698-1721-45a3-8353-10f2f400dc8f,0,B,Legendary Land
09b12bcb-a935-48be-a5e8-abbb890e91ca,Darkpact,LEB,100,74f10b9a-a286-49b2-bfa1-a427ff041bd4,3,B,Sorcery
09dbe391-a817-4347-986f-13849746db56,The Meathook Massacre,INR,387,127de52b-df75-4342-95a0-20d84c5bf916,2,B,Legendary Enchantment
09dd9023-f7ee-4e99-8821-7059deb83730,Adarkar Wastes,ICE,351,d5ad26cc-2bdb-46b7-b8bf-dd099d5fa09b,0,UW,Land
09ddb4a6-8144-4acc-9caa-4026a7a0537f,Solitude,SPG,44,dcb9c2a7-ae54-4ddc-a567-640bf4bf4366,5,W,Creature — Elemental Incarnation
09ed98e1-898b-494b-a27d-7c1ab28cd9f1,"Yawgmoth, Thran Physician",DMR,431,a1e232c0-dc38-47be-a5a0-f68bc1d86a29,4,B,Legendary Creature — Human Cleric
09f1958a-50cc-43cc-80e1-988800e44ca8,Timetwister,LEB,85,c823e687-6311-4c99-974b-fd77d204141a,3,U,Sorcery
0a07cba3-2e8d-48ec-a6f8-4d2edfcd833d,Vampiric Tutor,VIS,72,ededbdae-d9dc-4206-9335-d7158f2d7700,1,B,Instant
0a09344c-e869-4a8e-9be6-a29f1a5b6df6,Helpful Hunter,SLD,895,c0864adb-e9aa-40b6-91ff-a0646193e887,2,W,Creature — Cat
0a22ee47-fc56-436d-8570-88fbff421027,Serra Ascendant,IMA,31,27ad3e00-6ffb-48f7-8469-8868d066d1e2,1,W,Creature — Human Monk
0a31e063-80c6-4f72-a80a-8f4e576d4736,Lifetap,SUM,63,52ac09af-2aa7-4d80-be26-3e6a6efd5c23,2,U,Enchantment
0a469d00-1416-48dd-ad91-eb6f3fb4b42b,Sword of Feast and Famine,2XM,364,d0901053-6de0-46d0-9ee3-8d40510236c1,3,,Artifact — Equipment
0a481bb9-d213-4cb4-ace4-f8a2ebf663c9,Finale of Devastation,SLD,2680,69872a9a-fe54-4e58-940c-89395af71acd,2,G,Sorcery
0a4abd89-28d2-4458-81d7-4f3b43fd0184,Blood Crypt,RVR,397,43985bbc-a0f6-4812-984e-392bc8562633,0,BR,Land — Swamp Mountain
0a5453f5-065b-4134-b6f5-2f1cf460a9ac,Conservator,SUM,241,1940e56d-0972-4ca4-946c-bbd42dde1dcb,4,,Artifact
0a5df970-c6ba-4824-b8ba-67244aec2b82,Cabal Therapy,JUD,62,018107d1-ebf7-4657-bc91-c8374af55cc5,1,B,Sorcery
0a7a90bb-5ff0-48ec-b578-63ebcf7f1e70,Whispersilk Cloak,SLD,1574,9ad4f730-a18e-4a7c-a468-a926c718c741,3,,Artifact — Equipment
0aa81390-4e0b-484b-a5be-a9449cd41860,Magical Hack,LEB,64,cba229fa-9035-405b-b091-3798898a37ee,1,U,Instant
0ae0db84-bf72-4d67-a4cc-b32e1233a530,Magnetic Mountain,SUM,163,5c28fc22-7da6-4f15-b02b-6ff10981466c,3,R,Enchantment
0aea8148-43a7-45dc-84b1-8636cdb50412,Island,SUM,296,b2c6aa39-2d2a-459c-a555-fb48ba993373,0,U,Basic Land — Island
0affc8ed-9ba1-47fe-aa81-8fde61345bfc,"Tevesh Szat, Doom of Fools",SLD,1199,79a1783f-ea7e-4cdf-95f5-53b383d38c66,5,B,Legendary Planeswalker — Szat
0b0595fe-3042-4fcd-9f8e-a0f601f858c4,Basalt Monolith,SUM,235,6b8cf2a0-b045-4d91-9d91-c602d40c6237,3,,Artifact
0b1689f3-9dfa-4525-90b3-7af15f7eb720,"Eladamri, Lord of Leaves",TMP,224,dcbb6b0e-2219-4ba4-9720-3e58b59b4328,2,G,Legendary Creature — Elf Warrior
0b35ed4a-c1b1-4cf7-8eab-95a85ce75e92,Swamp,SUM,299,56719f6a-1a6c-4c0a-8d21-18f7d7350b68,0,B,Basic Land — Swamp
0b47f6d2-9f65-47a4-bfc4-15619befe53d,Phyrexian Tower,MH3,303,1861e642-21d5-4232-89f3-b5557f2946c1,0,B,Legendary Land
0b64dd0f-2e99-41bd-87aa-f623582d64d0,Time Vault,2ED,275,99d4d99d-cf56-45aa-aa39-a250695612f2,2,,Artifact
0b7acd81-1fcb-4758-95f4-e64cb696c9d2,Field of the Dead,SLD,1356,aa959340-c869-4caa-92c7-572bd8d23eef,0,,Land
0bb0349e-38b8-4750-b5c8-a831e6b20aea,Shanodin Dryads,SUM,216,998484cc-fefc-4da5-9987-5d6e89599c34,1,G,Creature — Nymph Dryad
0bc1dbbf-73a7-4f79-b499-4668c853d958,Portal to Phyrexia,PBRO,240p,301d1d8e-d3fc-4010-8b29-4724fa0b31cd,9,,Artifact
0c58f236-0b2c-4b71-8819-1beaea7ded17,Disrupting Scepter,2ED,243,cd30a128-4b23-476e-8066-2272fdc395d9,3,,Artifact
0c8b1f49-550e-405f-b17c-1d94589494ad,Willow Satyr,LEG,212,c7c660bd-5f58-464c-bc75-dd244b7ca535,4,G,Creature — Satyr
0c9ac08c-11ce-4e8a-8ea8-c18cfc745ac7,Ancient Copper Dragon,CLB,368,48daee9d-ddaf-410f-8c3a-12fa1064ab56,6,R,Creature — Elder Dragon
0c9c514f-f506-4b2c-af58-79922834cde7,Parallel Lives,MAR,36,84dc94b2-95fb-4d53-aaa2-191cb645639f,4,G,Enchantment
0c9ebec9-3474-4062-9607-2e2a72f78299,Enlightened Tutor,EMA,9,c5229c17-b7be-4b05-b683-f2277edc4849,1,W,Instant
0cadfe0e-9cdf-4e64-b143-f996c76bf93b,"Kefka, Court Mage // Kefka, Ruler of Ruin",FIN,322,6d3ca5cb-781d-4608-b7f1-38c020536376,5,BRU,Legendary Creature — Human Wizard // Legendary Creature — Avatar Wizard
0cb33b46-4d1b-4f97-bfdc-d815aee111da,Mana Crypt,EMA,225,2c63e4e1-89d2-4bc6-a232-94e75c4b1c8a,0,,Artifact
0cb4cef5-99e4-4855-a782-801b2cb974ec,White Knight,SUM,44,ddb021df-ae4a-4ac1-8353-d0b375761714,2,W,Creature — Human Knight
0cb6cbbe-c3e9-4d14-a6b8-fb74e6a02b33,Mind Twist,LEB,116,78f9c223-9982-4282-a496-a6f892f0a5bf,1,B,Sorcery
0cc818c8-32b7-4f15-9db5-0aacb92296b1,Mountain,SUM,303,a3fb7228-e76b-4e96-a40e-20b5fed75685,0,R,Basic Land — Mountain
0ccd5597-2d4e-4f3e-94b7-46783486853a,Blightsteel Colossus,2XM,357,e80772e2-8623-4094-81a2-70828b2b151c,12,,Artifact Creature — Phyrexian Golem
0cd2a4f9-8f80-4ee3-8068-73e686d6eeb9,Kormus Bell,LEB,257,d2d477a5-f055-4d47-a852-26e8239f2a01,4,,Artifact
0cd81355-8e02-4103-8707-d502ccb4fee8,Living Wall,SUM,262,4844312c-3c9d-4ca1-986d-4ad35e68454e,4,,Artifact Creature — Wall
0cf789e7-045c-4ad1-abc3-23eabda54f02,"Terra, Magical Adept // Esper Terra",FIN,323,54ca5904-9099-497a-9684-101656025487,3,BGRUW,Legendary Creature — Human Wizard Warrior // Legendary Enchantment Creature — Saga Wizard
0cfc4614-f6c1-4247-ab96-5bd41006ad85,Vivi Ornitier,FIN,514,0452be2a-e97a-4269-a9e3-b616265ecb2e,3,RU,Legendary Creature — Wizard
0d08f5e4-d2d3-4659-86d4-a983d80e3b2c,Tundra,2ED,285,02418479-9455-417f-a6a1-004356faff37,0,UW,Land — Plains Island
0d42f473-3e3f-4441-b7ee-6819a3a8f52e,Copy Artifact,3ED,53,80bc56a9-40e0-48da-ae86-190e39c8a4a3,2,U,Enchantment
0d446f70-cdbf-4ac3-81db-6fe77e064dd0,Mountain,SUM,302,a3fb7228-e76b-4e96-a40e-20b5fed75685,0,R,Basic Land — Mountain
0d77c149-cca2-45c7-bc83-5ba1872ad5e0,Desert Twister,ARN,46,6f880348-6dc8-4cf8-9313-9893c41a70a3,6,G,Sorcery
0dccb71b-a25a-4ef8-b2ab-716fd38dcc0b,Crucible of Worlds,2X2,393,33c722cf-b4bf-431f-aefd-ee96241a7fbf,3,,Artifact
0dd4d070-38cf-4517-8152-84c9fcf2c984,Trouble in Pairs,MKC,326,f349f58b-8cc8-45e4-9565-2b46fdf976c9,4,W,Enchantment
0ddb98e8-13fe-4786-83f7-b72c56db135a,Hill Giant,LEA,157,342199e0-15b6-4824-83da-25caef2592b3,4,R,Creature — Giant
0de4df3c-ac5a-4cff-9fbc-9269991224f9,Urborg,LTC,519,b6114962-035e-4e7f-9009-4739bf83a05a,0,B,Legendary Land
0dee69f8-cceb-41b9-a0ee-6b2ac9f4bad9,Tsabo's Web,INV,317,96a4e515-2b4e-4c2d-aa1a-963597484723,2,,Artifact
0df55e3f-14de-46ef-b6b1-616618724d9e,Counterspell,LEA,54,cc187110-1148-4090-bbb8-e205694a39f5,2,U,Instant
0e13f735-54fa-42b6-aea4-ced33811d7d4,Deadly Rollick,CMM,147,0456ec64-2c81-4763-a352-8ff64a4c3d6b,4,B,Instant
0e2181c0-e0ff-4e5e-b59c-0e389642d45c,Dread Return,SLD,2564,352b64d2-2ae5-44ee-a64f-94932ef545d3,4,B,Sorcery
0e818a8b-d0b1-4524-91b7-89ee03d12e41,Shadowspear,LTC,353,8b27326f-e7b8-4a4d-b589-df459246d19a,1,,Legendary Artifact — Equipment
0e863861-eb0d-4f86-9770-bd32b8227d07,Command Tower,SLD,697,0895c9b7-ae7d-4bb3-af17-3b75deb50a25,0,,Land
0e8ccfa7-4178-476a-a155-0ca1c98556c9,Exquisite Blood,LCC,195,8f933fae-6c0c-42d7-a817-14760d8285cd,5,B,Enchantment
0e94d334-e043-42f2-ba5c-be497d82f2c8,Chrome Mox,2XM,358,ec3d4466-547c-4e02-b1b5-a156ec4637e9,0,,Artifact
0e9ad288-d164-44a6-96ec-4185a1587f1a,Abu Ja'far,ARN,1,a2404d88-0621-49ae-9908-052c23a96ac6,1,W,Creature — Human
0e9aeaa8-9a75-4719-992f-cbb316f72175,Savannah,LEB,281,703243f0-8cb3-420f-958f-5fd4bde30293,0,GW,Land — Forest Plains
0eb8f591-d763-49bf-8ef9-86265aaa72f7,Feedback,LEA,57,2ff92886-5c17-47a4-a02b-a97432d9203e,3,U,Enchantment — Aura
0ee0f160-7339-4d98-8a8c-f08889ee52f5,Gamble,USG,188,a54f0869-94c8-42af-9080-166efb9486a4,1,R,Sorcery
0ee4a931-5d61-49ba-affc-f022263938ca,Allosaurus Shepherd,JMP,28,98295bdc-db58-4e1f-ad4c-63092aea207e,1,G,Creature — Elf Shaman
0f1cebcb-0e3f-4dce-81ff-44bc8c0b9ad7,Blood Crypt,UNF,279,43985bbc-a0f6-4812-984e-392bc8562633,0,BR,Land — Swamp Mountain
0f2917bc-d7db-4b7b-8366-6c992869603f,Diabolic Intent,LTC,526,038519b9-bca8-4b27-b5ac-2409595469d0,2,B,Sorcery
0f2c32a0-ee97-4239-94e3-aabab91dab83,Balance,LEB,3,17fa98cd-ed8f-483f-9525-7e989a82ebb2,2,W,Sorcery
0f45e837-7b98-46ef-b21b-e3508ce999e5,Lady Sun,PTK,45,dcc363a7-652d-4d2b-9081-3e5735120f21,3,U,Legendary Creature — Human Advisor
0f61e93f-5f97-4c7d-b3d5-0e05242faeb3,Trouble in Pairs,MKC,15,f349f58b-8cc8-45e4-9565-2b46fdf976c9,4,W,Enchantment
0f7585c8-9e21-4eef-afc1-2852de23db2f,Polluted Delta,ONS,321,ef86989d-ce80-4e55-aece-7d11710eeffa,0,,Land
0f84d676-5327-454c-a033-b4498a9d28e2,Guardian Angel,LEA,21,1a91ca69-e890-41dc-866b-3aabf10c9a9c,1,W,Instant
0f9668ba-d26d-4484-b4b8-6fb91fbfb617,Tormod's Crypt,DRK,112,1573f7f9-672c-421a-b1ac-3d0d8aea59ca,0,,Artifact
0fad0e0d-f34a-45ff-9f01-e6ac10b6928f,Elvish Archers,2ED,192,534ce8e2-53a1-407c-9881-d3b5347d43c3,2,G,Creature — Elf Archer
0fb05d34-05cb-4536-b7e6-2d526dc30a9f,"Fynn, the Fangbearer",SLD,1449,c0b1fba1-4338-4671-934b-098689ad2085,2,G,Legendary Creature — Human Warrior
0fbb8533-9404-4af0-a14a-1e136eacdb3a,Demonic Tutor,CMM,696,82004860-e589-4e38-8d61-8c0210e4ea39,2,B,Sorcery
0fc3ed63-96ee-420c-bde1-e0c904059931,Animate Dead,2ED,93,c0d8fef4-65f4-4769-982d-b397d2b7e977,2,B,Enchantment — Aura
0fd4c537-e2ef-4c6f-93d0-f427a40c1cf5,Zurgo Helmsmasher,SLD,1028,6c48d888-9f5d-43f4-adbd-61dbdba09260,5,BRW,Legendary Creature — Orc Warrior
0fe474af-55bb-4732-abaa-350984d5d7e5,Grave Pact,CMD,85,6f4ac4a4-53ec-4bc9-8f5c-d4b801d867b2,4,B,Enchantment
0ff7858d-f18d-4e5a-9467-ebef3ef53ac1,Roaming Throne,LCI,344,3640c29b-1534-4952-b297-619ade948431,4,,Artifact Creature — Golem
1045bdc7-6fbb-4b63-9798-a2a993f95bc2,Cavern of Souls,MM3,232,89ca686a-7c72-4d8f-9290-e89635624a83,0,,Land
104b4849-cfa0-438a-b01e-71995960aedf,Wall of Brambles,SUM,224,f8d82a00-c10e-4b9e-9642-d05706900a97,3,G,Creature — Plant Wall
1066a94a-8e4f-4d77-820b-7a77a18116f0,Wooded Foothills,ZNE,4,6587a463-a108-4854-b6d1-944e89b8c8a4,0,,Land
107ea1fe-167f-4a79-b0f1-f76dce2e6b0a,Commander's Plate,PLST,CMR-305,cae166de-e681-40a0-83a8-3c17cf40e2fc,1,,Artifact — Equipment
10a4e202-b564-4ac8-8bdf-a2a563662563,The One Ring,LTR,748,3aa83ed2-f48b-4ce6-a614-2c54ddf50538,4,,Legendary Artifact
10d42b35-844f-4a64-9981-c6118d45e826,The Ur-Dragon,CMM,361,87b22b09-4f6d-4bc5-9cfc-663e4c7c6981,9,BGRUW,Legendary Creature — Dragon Avatar
10f58d3b-d68b-4b23-b564-a181c2f22fa7,Void Winnower,SCH,32,70ac902e-1eb5-4f83-a5a6-00ac89cfe50f,9,,Creature — Eldrazi
11130547-391b-4fe7-8821-ef9514f6073f,Stoneforge Mystic,SPG,29,358789f9-7d87-411d-919e-d597da665cbd,2,W,Creature — Kor Artificer
111a16a2-e875-4756-80db-290f9e8606db,Greed,LEG,101,1ff62220-be95-4901-b8d8-812b9a1a1b0a,4,B,Enchantment
